Protein;Count
Ribonuclease VapC42;7049
Dihydrofolate reductase;7031
Thymidylate synthase ThyA;7065
3-alpha-hydroxycholanate dehydrogenase (NADP(+));7075
4-hydroxy-tetrahydrodipicolinate reductase;7058
Phthalate dioxygenase reductase;7043
DNA-binding transcriptional activator DecR;6681
Alanine dehydrogenase;7140
Nitronate monooxygenase;7076
putative zinc protease;7051
Polyribonucleotide nucleotidyltransferase;7052
30S ribosomal protein S15;7055
Bifunctional riboflavin kinase/FMN adenylyltransferase;7058
HTH-type transcriptional regulator MntR;6691
IS607 family transposase IS1602;6970
tRNA pseudouridine synthase B;7035
4'-phosphopantetheinyl transferase Npt;7057
Endoribonuclease MazF9;7063
Antitoxin MazE9;7057
ISNCY family transposase ISBli16;20854
IS481 family transposase ISChy3;7013
CRISPR-associated endoribonuclease Cas2;5334
CRISPR-associated endonuclease Cas1;5291
CRISPR system endoribonuclease Csm6;5428
CRISPR system Cms protein Csm5;5331
CRISPR system Cms protein Csm4;6865
CRISPR system Cms endoribonuclease Csm3;7070
CRISPR system Cms protein Csm2;7063
CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 (subtype III-A);7094
CRISPR-associated endoribonuclease Cas6;7070
Ribonuclease VapC22;7050
Antitoxin VapB22;7050
putative arabinose-binding protein;51
Diacetylchitobiose uptake system permease protein DasC;7037
Bifunctional oligoribonuclease and PAP phosphatase NrnA;7051
Ribosome-binding factor A;7049
Translation initiation factor IF-2;7075
Transcription termination/antitermination protein NusA;7060
Ribosome maturation factor RimP;7057
Proline--tRNA ligase;7055
putative MFS-type transporter EfpA;7060
Hydrogenobyrinate a,c-diamide synthase;6983
putative malate:quinone oxidoreductase;7078
Mycothione reductase;7099
Nickel transporter NixA;7060
Hydrogenase maturation factor HypB;14118
Phenylacetaldehyde dehydrogenase;7057
Putative glutamine amidotransferase;7049
Glutamate--isopropylamine ligase;6994
Methionine aminopeptidase 2;7058
Peptidoglycan D,D-transpeptidase MrdA;7049
Antitoxin RelF;7056
Toxin RelG;7057
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin);7057
Zinc metalloprotease Rip1;7055
1-deoxy-D-xylulose 5-phosphate reductoisomerase;7055
Ribonuclease VapC43;7060
Cell surface glycolipoprotein MPT83;7055
Protein DipZ;7061
Immunogenic protein MPT70;7073
Soluble secreted antigen MPT53;7070
putative dual-specificity RNA methyltransferase RlmN;7031
Phosphatidate cytidylyltransferase;7056
Ribosome-recycling factor;7061
Uridylate kinase;6998
IS607 family transposase IS1539;6578
Putative amidase AmiC;7075
Elongation factor Ts;7054
30S ribosomal protein S2;7054
Putative DNA processing protein DprA;7056
Competence protein ComM;7046
Sulfur carrier protein FdhD;7063
Ribonuclease HII;7046
Signal peptidase I;7057
50S ribosomal protein L19;7056
Putative lipoprotein LppW;6846
tRNA (guanine-N(1)-)-methyltransferase;6791
Ribosome maturation factor RimM;7058
30S ribosomal protein S16;7056
D-alanyl-D-alanine carboxypeptidase DacB;7047
Serine/threonine-protein kinase PknI;7049
Signal recognition particle protein;7063
Bifunctional uridylyltransferase/uridylyl-removing enzyme;7589
Nitrogen regulatory protein P-II;7054
Ammonia channel;7130
Signal recognition particle receptor FtsY;7043
Chromosome partition protein Smc;7082
Acylphosphatase;7065
Formamidopyrimidine-DNA glycosylase 1;7068
Ribonuclease 3;7056
putative thioesterase TesA;7054
Long-chain-fatty-acid--AMP ligase FadD26;7062
Phthiocerol synthesis polyketide synthase type I PpsA;2318
Phthiocerol synthesis polyketide synthase type I PpsB;6530
Phthiocerol synthesis polyketide synthase type I PpsC;7211
Phthiocerol synthesis polyketide synthase type I PpsD;7247
Phthiocerol synthesis polyketide synthase type I PpsE;6551
Doxorubicin resistance ATP-binding protein DrrA;7059
Doxorubicin resistance ABC transporter permease protein DrrB;7060
putative doxorubicin resistance ABC transporter permease protein DrrC;7058
Phthiocerol/phthiodiolone dimycocerosyl transferase;7062
Mycocerosic acid synthase;7095
Long-chain-fatty-acid--AMP ligase FadD28;7051
Phthiocerol dimycocerosate exporter MmpL7;7052
Putative phthiocerol dimycocerosate transporter LppX;7060
p-hydroxybenzoic acid--AMP ligase FadD22;7077
Chorismate pyruvate-lyase;7036
4-hydroxyphenylalkanoate adenylyltransferase;7281
Phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase;7082
Trans-acting enoyl reductase;7076
PGL/p-HBAD biosynthesis glycosyltransferase;14109
Rhamnosyl O-methyltransferase;7390
PGL/p-HBAD biosynthesis rhamnosyltransferase;8497
Putative permease;7262
Formyltetrahydrofolate deformylase;7060
Phosphopantetheine adenylyltransferase;7055
Ribosomal RNA small subunit methyltransferase D;7052
Pyruvate carboxylase;7080
ATP-dependent DNA helicase RecG;7058
50S ribosomal protein L28;10878
Uracil-DNA glycosylase;7059
Thiamine-monophosphate kinase;7064
IS607 family transposase IS1538;6950
D-alanine--D-alanine ligase;7011
Glycerol-3-phosphate dehydrogenase [NAD(P)+];7059
Phosphoenolpyruvate guanylyltransferase;7025
Polyphosphate kinase;7067
putative 8-oxo-dGTP diphosphatase 1;7056
DNA-binding protein HU;7045
3-isopropylmalate dehydratase small subunit;7057
3-isopropylmalate dehydratase large subunit;7061
Transcriptional regulator KdgR;6968
tRNA-Glu(ctc);7025
tRNA-Gln(ctg);7048
Glutamate--tRNA ligase;7064
3-isopropylmalate dehydrogenase;7044
D-3-phosphoglycerate dehydrogenase;7063
Ketol-acid reductoisomerase (NADP(+));7058
Putative acetolactate synthase small subunit;7056
Acetolactate synthase large subunit IlvB1;7059
Low molecular weight protein antigen 6;7052
FMN reductase (NADH) RutF;7054
Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B;7059
ATP-dependent 6-phosphofructokinase;7063
Glutamyl-tRNA(Gln) amidotransferase subunit A;6769
Glutamyl-tRNA(Gln) amidotransferase subunit C;7048
DNA ligase A;7066
putative PPE family protein PPE47/PPE48;17623
ESAT-6-like protein EsxR;4332
ESAT-6-like protein EsxS;5075
tRNA-specific 2-thiouridylase MnmA;7058
IscS-like cysteine desulfurase;7054
Electron transfer flavoprotein subunit alpha;7053
Electron transfer flavoprotein subunit beta;7064
putative S-adenosylmethionine-dependent methyltransferase;7053
putative 1,4-alpha-glucan branching enzyme;7055
Glycogen synthase;7034
Putative acetyltransferase;7057
putative enoyl-CoA hydratase echA17;7061
putative ABC transporter ATP-binding protein YlmA;7054
Phosphoserine phosphatase SerB2;7059
putative cytochrome c oxidase subunit 1;7060
putative siderophore-binding lipoprotein YfiY;7053
NADP-dependent alcohol dehydrogenase C;7060
Ribonucleoside-diphosphate reductase subunit beta nrdF2;7059
Ribonucleoside-diphosphate reductase subunit alpha;7042
Protein NrdI;7055
Glutaredoxin-like protein NrdH;7056
HTH-type transcriptional regulator EthR;14086
Putative cytochrome P450 136;7052
DNA ligase B;7118
Peptide transporter CstA;7073
Multidrug resistance protein Mmr;7041
HTH-type transcriptional regulator RcdA;7042
Phosphoglucomutase;7065
Putative fluoride ion transporter CrcB 1;7046
Putative fluoride ion transporter CrcB;7056
Hydroxylaminobenzene mutase HabA;7007
Serine/threonine-protein kinase PknK;7402
HTH-type transcriptional regulator VirS;14105
Putative FAD-containing monooxygenase MymA;6715
Putative acetyl-hydrolase LipR;6673
Putative alcohol dehydrogenase D;7056
putative diacyglycerol O-acyltransferase Tgs4;7053
Flavin-dependent monooxygenase, oxygenase subunit HsaA;14101
Putative toxinA/RVBD_3098A;7053
transfer-messenger RNA, SsrA;7057
SsrA-binding protein;7058
Cell division protein FtsX;7058
Cell division ATP-binding protein FtsE;7057
putative MscS family protein YkuT;7050
Peptide chain release factor 2;7061
NADPH-ferredoxin reductase FprA;7051
GTP 3',8-cyclase 1;11850
Cyclic pyranopterin monophosphate synthase 1;13959
Phosphoglycolate phosphatase;7008
putative adenylyltransferase/sulfurtransferase MoeZ;14103
Molybdopterin synthase catalytic subunit 1;7096
Putative cytochrome P450 141;6879
Transcriptional regulatory protein MoaR1;7060
putative diacyglycerol O-acyltransferase tgs1;7065
Putative NAD(P)H nitroreductase;7063
Oxygen sensor histidine kinase response regulator DevS/DosS;7073
DNA-binding transcriptional activator DevR/DosR;7062
Histidinol-phosphatase;7058
putative response regulatory protein;7064
NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic;7051
NADH-quinone oxidoreductase subunit B;7059
NADH-quinone oxidoreductase subunit C;7058
NADH-quinone oxidoreductase subunit D;7067
NADH-quinone oxidoreductase subunit E;7055
NADH-quinone oxidoreductase subunit F;7066
NADH-quinone oxidoreductase subunit G;7038
NADH-quinone oxidoreductase subunit H;7056
NADH-quinone oxidoreductase subunit I;7052
NADH-quinone oxidoreductase subunit 11;7054
NADH-quinone oxidoreductase subunit L;7066
NADH-quinone oxidoreductase subunit M;7067
NADH-quinone oxidoreductase subunit N;7066
Carnitine monooxygenase oxygenase subunit;7052
ATPase RavA;7027
Putative aminoglycoside phosphotransferase;7070
Putative flavin-containing monoamine oxidase AofH;7411
Acylamidase;6689
Haloalkane dehalogenase;7615
Deazaflavin-dependent nitroreductase;14097
Ribonuclease VapC49;7055
Putative antitoxin VapB49;7056
putative protein YlbL;7056
protein kinase UbiB;7071
putative transcriptional regulator WhiB7;7048
ATP-dependent DNA helicase UvrD2;7076
Putative glutaredoxin.1;7058
NADH pyrophosphatase;7082
Glutathione-regulated potassium-efflux system protein KefC;7052
ATP-dependent DNA helicase Rep;13980
Lipase LipV;7058
DNA base-flipping protein;7056
Acid phosphatase;7066
Putative isochorismate synthase MenF;7066
lipid kinase YegS;7038
Transcriptional regulator WhiB1;7061
putative sensor histidine kinase pdtaS;7064
Biotinylated protein TB7.3;7069
Anti-sigma factor RshA;7069
ECF RNA polymerase sigma factor SigH;7067
SOS response-associated protein YedK;7065
3-phosphoshikimate 1-carboxyvinyltransferase;7011
Small ribosomal subunit biogenesis GTPase RsgA;7068
NADPH-dependent stearoyl-CoA 9-desaturase;7082
NADPH oxidoreductase;7064
Polyphosphate:GDP phosphotransferase;7061
putative diacyglycerol O-acyltransferase tgs3;4456
K(+)/H(+) antiporter subunit KhtU;7028
Ammonium/H(+) antiporter subunit AmhM;7036
Methanethiol S-methyltransferase;7057
Protein translocase subunit SecA 1;7018
Ribosome hibernation promotion factor;7050
Lipoprotein LpqB;7074
Sensor histidine kinase MtrB;7062
DNA-binding response regulator MtrA;7057
Thymidylate kinase;7058
Adenosylhomocysteinase;6838
Rubredoxin;7045
Rubredoxin-2;7066
Alkane 1-monooxygenase;7144
Mannose-6-phosphate isomerase;7052
Phosphomannomutase/phosphoglucomutase;7059
Transcriptional regulator WhiB;7089
Phosphoenolpyruvate transferase;7061
Bifunctional F420 biosynthesis protein FbiB;7054
Modification methylase Eco57IB;7057
N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase;7058
dTDP-4-dehydrorhamnose reductase;7056
Cell wall biosynthesis protein LcpA;14148
Manganese-exporting P-type ATPase;7064
putative fatty acyl-CoA transferase;7069
putative acyl-CoA dehydrogenase fadE25;7057
N5-carboxyaminoimidazole ribonucleotide mutase;7060
N5-carboxyaminoimidazole ribonucleotide synthase;7049
Bifunctional ligase/repressor BirA;7061
Nucleoside triphosphate pyrophosphatase;7058
Putative thiosulfate sulfurtransferase SseA;7061
putative SufE-like protein;7053
RNA polymerase sigma factor SigF;7061
Anti-sigma-F factor RsbW;7053
putative L-lysine-epsilon aminotransferase;7060
Succinate-semialdehyde dehydrogenase [NADP(+)];6936
ATP-dependent RNA helicase SrmB;6773
Glycerol-3-phosphate dehydrogenase 2;7085
NAD(P)H dehydrogenase (quinone);7090
N-acetylcysteine deacetylase;7078
N-acetyldiaminopimelate deacetylase;7024
Purine nucleoside phosphorylase;7062
putative phosphomannomutase;7064
Uracil phosphoribosyltransferase;7086
Phosphatidylinositol-3-phosphatase;7082
Pilin;7067
Adenosine deaminase;7084
Thymidine phosphorylase;7082
Cytidine deaminase;7081
Succinate dehydrogenase 2 membrane subunit SdhC;7075
Succinate dehydrogenase iron-sulfur subunit;6986
Ribonuclease VapC44;6933
ECF RNA polymerase sigma factor SigJ;7035
putative metabolite transport protein CsbC;34
N-acetylgalactosamine-6-phosphate deacetylase;7003
Mercuric resistance operon regulatory protein;7038
Inner membrane protein YhjD;7058
Tryptophan--tRNA ligase;7056
Isocitrate dehydrogenase [NADP];6916
O-acetyl-L-homoserine sulfhydrylase;7059
Homoserine O-acetyltransferase;7052
Bifunctional protein FolD protein;7057
Antitoxin RelJ;7052
Toxin RelK;7055
Metal reductase;7045
Pentapeptide repeat protein MfpA;7044
Serine protease inhibitor;7048
tRNA (cytidine(34)-2'-O)-methyltransferase;7061
Error-prone DNA polymerase;7103
Trehalose-phosphate phosphatase;7063
Short-chain-enoyl-CoA hydratase;13546
Phosphatase;7060
Type B diterpene cyclase;7049
Diterpene synthase;7109
4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1;7268
Ribonuclease VapC46;7042
Antitoxin VapB46;7038
ISNCY family transposase ISMav10;7052
Cyclopropane mycolic acid synthase 1;7079
Pyrimidine-specific ribonucleoside hydrolase RihA;7057
DNA polymerase IV;6634
GMP synthase [glutamine-hydrolyzing];7064
Phytoene synthase;7054
(2E,6E)-farnesyl diphosphate synthase;8703
dTDP-4-amino-4,6-dideoxyglucose formyltransferase;6994
Alpha-ketoglutarate-dependent sulfate ester dioxygenase;7066
Antitoxin VapB47;7056
Ribonuclease VapC47;7054
Cholesterol oxidase;7071
Anti-sigma-D factor RsdA;7044
ECF RNA polymerase sigma factor SigD;7052
Redox- and pH-responsive transcriptional regulator WhiB3;7054
60 kDa chaperonin 1;7057
10 kDa chaperonin;7058
tRNA N6-adenosine threonylcarbamoyltransferase;7053
N-alpha-acetyltransferase RimI;7057
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE;7059
Alanine racemase;7063
PPE family protein PPE57;19895
IS256 family transposase ISRo1;7063
Glutamate decarboxylase;7062
Bifunctional NAD(P)H-hydrate repair enzyme Nnr;6636
Glutamine--fructose-6-phosphate aminotransferase [isomerizing];7066
Phosphoglucosamine mutase;7074
30S ribosomal protein S9;7060
50S ribosomal protein L13;6905
ESAT-6-like protein EsxT;7058
ESX secretion system protein EccC;7578
ESX-1 secretion system protein EccD1;13990
Mycosin-4;7090
putative cutinase cut3;14122
tRNA pseudouridine synthase A;7062
50S ribosomal protein L17;7062
DNA-directed RNA polymerase subunit alpha;7069
30S ribosomal protein S4;6877
30S ribosomal protein S11;7063
30S ribosomal protein S13;7063
Translation initiation factor IF-1;7066
dTDP-glucose 4,6-dehydratase;13632
dTDP-4-dehydrorhamnose 3,5-epimerase;7066
4-hydroxy-2-oxovalerate aldolase;14120
Putative acetolactate synthase large subunit IlvB2;7093
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase;7071
Alpha-ketoglutarate permease;7044
Carboxylesterase LipF;6254
Trehalose-6-phosphate synthase;6959
Acyl-CoA dehydrogenase FadE26;7065
Acyl-CoA dehydrogenase FadE27;14097
Putative acetolactate synthase large subunit IlvX;7034
Long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase;7989
2,3-dehydroadipyl-CoA hydratase;7073
Steroid C26-monooxygenase;14362
Putative coenzyme F420-dependent oxidoreductase;12666
Protein YrdA;6847
3-ketosteroid-9-alpha-monooxygenase, oxygenase component;7064
3-oxoacyl-[acyl-carrier-protein] reductase FabG;7072
Acetaldehyde dehydrogenase;7039
2-hydroxyhexa-2,4-dienoate hydratase;7048
3-oxosteroid 1-dehydrogenase;7066
Acyl-CoA dehydrogenase FadE29;7059
Steroid 3-ketoacyl-CoA thiolase;7075
putative 2,4-dienoyl-CoA reductase;7024
Putative CoA-transferase subunit alpha;7064
Putative CoA-transferase subunit beta;7063
NADH:quinone reductase;6993
Beta-ketoadipyl-CoA thiolase;7431
Arylamine N-acetyltransferase;7054
Flavin-dependent monooxygenase, reductase subunit HsaB;6881
Iron-dependent extradiol dioxygenase;7079
4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase;7103
3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component;7065
HTH-type transcriptional repressor KstR;7063
HTH-type transcriptional regulator IpsA;7059
Arsenical pump membrane protein;6832
putative tRNA/rRNA methyltransferase;6747
Cysteine--tRNA ligase;7062
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;7059
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;7059
RNA polymerase-binding transcription factor CarD;7059
Putative lipoprotein LpqE;7063
DNA repair protein RadA;7070
DNA integrity scanning protein DisA;7080
Carbonic anhydrase 2;7061
Adenine DNA glycosylase;7058
Heme oxygenase (mycobilin-producing);7062
ATP-dependent Clp protease ATP-binding subunit ClpC1;7121
Nucleoid-associated protein Lsr2;7005
Lysine--tRNA ligase 1;7059
Type III pantothenate kinase;7051
Aspartate 1-decarboxylase;7060
Pantothenate synthetase;7057
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase;7063
Dihydroneopterin aldolase;7057
Dihydropteroate synthase;7069
GTP cyclohydrolase 1;7066
ESX-1 secretion-associated protein EspD;7061
ESX-1 secretion-associated protein EspC;7061
ESX-1 secretion-associated protein EspA;7070
Limonene 1,2-monooxygenase;6845
Hypoxanthine-guanine phosphoribosyltransferase;7060
tRNA(Ile)-lysidine synthase;7057
Carboxypeptidase;7059
Inorganic pyrophosphatase;7062
Polyprenol monophosphomannose synthase;7035
UDP-glucose 4-epimerase;7057
IS21 family transposase ISAau2;7057
IS256 family transposase IS1553;7051
putative protein adenylyltransferase Fic;7054
tRNA-Thr(cgt);7062
DNA topoisomerase 1;7122
putative cold shock protein A;7058
PE-PGRS family protein PE_PGRS61;4888
Apoptosis inhibitor;14010
Putative conjugal transfer protein;7319
putative phosphatase;7058
Glutathione import ATP-binding protein GsiA;6980
Oligopeptide transport system permease protein OppC;7051
Dipeptide transport system permease protein DppB;7055
Oligopeptide-binding protein OppA;7045
Acetyl-coenzyme A synthetase;7073
putative Nudix hydrolase NudL;7048
Endonuclease III;7069
CRP-like cAMP-activated global transcriptional regulator;7055
Putative ATPase;7056
Transcriptional regulator WhiB4;7056
Biosynthetic peptidoglycan transglycosylase;6874
N-(2-amino-2-carboxyethyl)-L-glutamate synthase;7044
tRNA-Pro(cgg);7060
Putative cytochrome P450 137;7069
Anti-sigma-F factor antagonist RsfB;7048
putative protein YqeY;7045
Glycerol kinase;7097
Ribonuclease VapC48;7024
putative hercynylcysteine sulfoxide lyase;7063
Histidine N-alpha-methyltransferase;7070
Hercynine oxygenase;7064
Glutamate--cysteine ligase EgtA;7055
Aspartate-semialdehyde dehydrogenase;7057
Aspartokinase;7060
2-isopropylmalate synthase;6872
Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT;7060
Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD;7064
Recombination protein RecR;7059
Nucleoid-associated protein;7032
N-acetylmuramoyl-L-alanine amidase;7057
putative fatty acid methyltransferase;7065
DNA polymerase III subunit gamma/tau;7093
Putative aminotransferase/MSMEI_6121;7057
tRNA-Ser(gga);7067
Lipid uptake coordinator A;7048
L-threonine 3-dehydrogenase;7075
Multifunctional non-homologous end joining protein LigD;7045
DNA ligase C;7058
putative diacyglycerol O-acyltransferase tgs2;7059
putative cation-transporting P-type ATPase J;7100
HTH-type transcriptional regulator NmtR;7045
PE family immunomodulator PE35;14030
Putative ribonuclease VapC50;7053
tRNA-Ser(cga);7059
Prephenate dehydrogenase;6602
Choline transport system permease protein OpuBB;7062
Choline transport ATP-binding protein OpuBA;7035
Glycine betaine-binding protein YehZ;7047
Putative alkyl/aryl-sulfatase YjcS;7164
Lipoprotein LpqH;7053
tRNA-Arg(acg);7068
tRNA-Ser(gct);7059
Putative phenylalanine aminotransferase;7060
tRNA-Ser(tga);7065
Bacterial proteasome activator;7057
Teichoic acids export ATP-binding protein TagH;7054
Galactofuranosyltransferase GlfT1;7057
Arabinogalactan biosynthesis recruiting protein;7057
Decaprenylphosphoryl-beta-D-ribose oxidase;7059
Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase;7051
Galactan 5-O-arabinofuranosyltransferase;7063
putative arabinosyltransferase C;7097
putative arabinosyltransferase A;7055
putative arabinosyltransferase B;7066
MPT51/MPB51 antigen;7059
Diacylglycerol acyltransferase/mycolyltransferase Ag85A;7071
Terminal beta-(1->2)-arabinofuranosyltransferase;7055
Decaprenyl-phosphate phosphoribosyltransferase;7062
Putative decaprenylphosphoryl-5-phosphoribose phosphatase;7052
Galactofuranosyltransferase GlfT2;7067
UDP-galactopyranose mutase;7058
Exported repetitive protein;6825
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU;7034
Aminoglycoside 3'-phosphotransferase;7047
Putative Rieske 2Fe-2S iron-sulfur protein;7054
Trehalose-2-sulfate acyltransferase papA2;7073
SL1278 acyltransferase Chp1;7123
SL659 acyltransferase papA1;7084
Phthioceranic/hydroxyphthioceranic acid synthase;7198
Long-chain-fatty-acid--CoA ligase FadD23;7081
IS607 family transposase IS1537;7022
HTH-type transcriptional regulator NimR;6981
Serine--tRNA ligase;7048
Prephenate dehydratase;7056
putative cell wall biosynthesis protein LcpB;6989
Ferritin BfrB;7055
putative glycerophosphodiester phosphodiesterase 1;7078
Superoxide dismutase [Fe];7106
Nucleoid-associated protein EspR;7059
Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase;7042
phosphatase YcdX;7031
Glutamate synthase [NADPH] small chain;7057
Glutamate synthase [NADPH] large chain;7169
ESX-1 secretion-associated protein EspI;20898
putative transcriptional regulator WhiB6;6936
ESX-1 secretion-associated protein EspE;7096
ESX-1 secretion-associated protein EspF;7021
ESX-1 secretion-associated protein EspG1;7042
ESX-1 secretion-associated protein EspH;7033
ESX-1 secretion system protein EccA1;7073
ESX-1 secretion system ATPase EccB1;7053
ESX-1 secretion system protein EccCa1;7048
ESX-1 secretion system protein EccCb1;7061
PPE family immunomodulator PPE68;7004
ESAT-6-like protein EsxB;6992
6 kDa early secretory antigenic target;6991
ESX-1 secretion-associated protein EspJ;7185
ESX-1 secretion-associated protein EspK;7027
ESX-1 secretion-associated protein EspL;7050
ESX-1 secretion-associated protein EspB;7117
ESX-1 secretion system protein EccE1;7048
Mycosin-1;7048
ESX-2 secretion system protein EccA2;7802
ESX-2 secretion system protein EccE2;7059
Mycosin-2;7481
ESX-2 secretion system protein eccD2;7108
ESAT-6-like protein EsxC;7045
ESAT-6-like protein EsxD;7041
ESX-2 secretion system ATPase EccB2;7113
Immunity factor for TNT;7050
Outer membrane channel protein CpnT;7156
ESAT-6-like protein EsxE;7043
ESAT-6-like protein EsxF;7198
CCA-adding enzyme;7048
Putative mutator protein MutT4;7054
putative peptidoglycan biosynthesis protein MviN;7093
ECF RNA polymerase sigma factor SigM;6989
Anti-sigma-M factor RsmA;7052
Thioredoxin reductase;7056
Thioredoxin;7060
N-acetylmuramoyl-L-alanine amidase CwlM;7075
putative chromosome-partitioning protein ParB;7063
Nitrogenase iron protein;6994
Ribosomal RNA small subunit methyltransferase G;7513
Membrane protein insertase YidC;7073
Formate hydrogenlyase subunit 5;6626
Histidine biosynthesis bifunctional protein HisB;6506
Antitoxin VapB25;2040
Chaperone protein HscA;566
putative xanthine dehydrogenase subunit A;5796
Dysfunctional anti-sigma-K factor RskA;167
HTH-type transcriptional repressor NagR;7035
Phosphate-binding protein PstS2;583
Phosphate-binding protein PstS1;216
ESAT-6-like protein EsxK;5660
6-phosphogluconate dehydrogenase, decarboxylating;178
Diacetyl reductase [(S)-acetoin forming];5237
putative PPE family protein PPE37;7252
GTP cyclohydrolase 1 type 2;7056
2-oxoglutarate oxidoreductase subunit KorB;7055
Antitoxin MazE;3568
Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsA;5711
Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsB;591
Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE;552
IS21 family transposase ISMbo1;4968
tRNA U34 carboxymethyltransferase;7033
Inner membrane protein YedI;5762
Galactose-proton symporter;6998
Crotonyl-CoA hydratase;578
Aspartate/prephenate aminotransferase;7047
26 kDa periplasmic immunogenic protein;1255
Serine protease;2637
Glutamate--cysteine ligase;154
putative ABC transporter ATP-binding protein YheS;140
Putative isocitrate lyase subunit A;2895
sn-glycerol-3-phosphate-binding periplasmic protein UgpB;6991
putative PPE family protein PPE50;3238
IS21 family transposase ISMt2;1924
putative PE-PGRS family protein PE_PGRS54;829
PE-PGRS family protein PE_PGRS30;1557
Antitoxin VapB;554
Insertion sequence IS5376 putative ATP-binding protein;771
Bifunctional protein PaaZ;3
Nitrate/nitrite transporter NarU;60
Arylsulfatase;47
Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific);2
23S ribosomal RNA (partial);217
putative endoribonuclease MazF7;3079
Antitoxin VapB39;909
Oxidoreductase UcpA;23
K(+)/H(+) antiporter subunit KhtT;16
Kynurenine 3-monooxygenase;114
Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2;211
IS110 family transposase ISAzo28;125
IS110 family transposase ISCps4;26
Propionyl-CoA carboxylase beta chain;9
putative transport protein HsrA;14
Aminodeoxychorismate synthase component 1;117
Mitomycin radical oxidase;59
Insertion element IS6110 uncharacterized 12.0 kDa protein;328
putative endopeptidase;143
tRNA-Arg(tcg);4
NAD(P)H-quinone oxidoreductase subunit K, chloroplastic;37
Glycyl-glycine endopeptidase LytM;5
ATP-dependent (S)-NAD(P)H-hydrate dehydratase;8
Putative cytochrome bd menaquinol oxidase subunit I;2
Sulfate transport system permease protein CysT;14
Caffeyl-CoA reductase-Etf complex subunit CarC;21
tRNA-Gly(acc);3
Transaldolase;8
7-alpha-hydroxysteroid dehydrogenase;117
Protein flp;1464
Sensor histidine kinase RcsC;252
Serine protease Do-like HtrA;23
Formamidopyrimidine-DNA glycosylase;9
IS3 family transposase IS1141;435
NAD(P)H-hydrate epimerase;6
Vitamin B12 import ATP-binding protein BtuD;132
HTH-type transcriptional regulator LrpC;22
Crotonobetaine/carnitine--CoA ligase;55
Beta-ketoacyl-[acyl-carrier-protein] synthase FabY;12
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD;140
Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial;455
Urocanate reductase;124
Putative aldehyde dehydrogenase AldY;29
N-acetylglucosamine-6-phosphate deacetylase;22
Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase;1
Periplasmic murein peptide-binding protein;2
D-alanyl-D-alanine carboxypeptidase;16
Lignostilbene-alpha,beta-dioxygenase isozyme III;24
Formyl-CoA:oxalate CoA-transferase;21
2-keto-4-pentenoate hydratase;13
6-deoxyerythronolide-B synthase EryA2, modules 3 and 4;126
Rhomboid protease GluP;5
putative oxidoreductase YohF;71
Betaine aldehyde dehydrogenase;26
NAD/NADP-dependent betaine aldehyde dehydrogenase;44
ESAT-6-like protein EsxU;23
Non-specific ribonucleoside hydrolase RihC;1
60 kDa chaperonin;3
Ribonuclease P protein component;21
Putative antitoxin VapB38;35
putative protein YpbG;27
Virginiamycin B lyase;315
27-O-demethylrifamycin SV methyltransferase;3
putative protein-export membrane protein SecG;97
Hydroxyacylglutathione hydrolase GloC;108
Leucine-responsive regulatory protein;349
Carnitine operon protein CaiE;216
PE family protein PE9;22
Enoyl-CoA-hydratase;25
primosomal protein N';6
2-formylbenzoate dehydrogenase;13
tRNA-dihydrouridine synthase B;3
sugar efflux transporter;1
RNA polymerase-associated protein RapA;58
Ribonucleotide monophosphatase NagD;1
